store_name,product_name,category,price,quantity,supplier
ДНС Москва – ТЦ Европейский,Samsung Galaxy S23,Смартфоны,74999,10,ООО ТехноПоставка
ДНС Москва – ТЦ Европейский,iPhone 14,смартфоны,89999,5,ООО ТехноПоставка
ДНС Санкт-Петербург – Невский,ASUS VivoBook 15,Ноутбуки,65999,3,ООО ЭлектроИмпорт

# ---- ОШИБОЧНЫЕ ЗАПИСИ ----
ДНС СПБ – Невский,LG OLED 55",Телевизоры,-129999,2,ООО DigitalTrade
ДНС Москва – ТЦ Европейский,DDR4 16GB,Комплектующие,abc,20,ООО ТехноПоставка
ДНС Москва – ТЦ Европейский,,Смартфоны,49999,5,ООО ТехноПоставка
,HP Pavilion 14,Ноутбуки,55999,3,ООО ЭлектроИмпорт
ДНС Москва – ТЦ Европейский,MSI GF63,Ноутбуки,75999,-4,ООО ЭлектроИмпорт
ДНС Москва – ТЦ Европейский,Lenovo IdeaPad 3,,45999,5,ООО ЭлектроИмпорт
